"Indicator","Generic_indicator","Units"
"activity ratio","activity","% (time moved / total time)"
"distance travelled","activity","cm; km; CL"
"proportion of turns","activity","%"
"sediment reworking","activity","number of dyed particles per 10 cm3 per centimeter of sediment depth below the surface, number of individuals per cm of sediment depth; % of individual on the sediment surface (not buried)"
"time spent in/to find a shelter","activity","% of experiment time (24h); min"
"Total fish biomass","community biomass","g / station"
"diversity richness","community diversity","number of species; shannon index"
"egg volume","early life-stages development","mm3"
"egg weight","early life-stages development","mg"
"embryonic development","early life-stages development","days"
"hatching duration","early life-stages development","days"
"larval body deformities","early life-stages development","length-height-diameter"
"larval body form","early life-stages development","length-height-diameter"
"Respiration rate","fitness","mg O2 / L / h / g WW; µmol/g of animal wet weight/day"
"ammonia excretion rate","fitness","µmol/g of animal wet weight/day; µmol NH4 / g DW / day"
"avoidance, stress, change of behavior","fitness","% of population"
"condition index","fitness","Number of animals"
"differentially expressed genes","fitness","RPKM (reads per kilobase of transcript per million reads mapped)"
"food consumption rate","fitness","J/g of animal wet weight/day, absorption efficiency parameter,; mg / g DW / day"
"gonad index","fitness","Number of animals"
"haemocyte/coelomocytes","fitness","cell x 10e6 /mL; cells / mL"
"haemolymph D-glucose concentration","fitness","mM"
"haemolymph L-lactate concentration","fitness","mM"
"respiration rate","fitness","mg O2 / g DW / day"
"stress biomarkers","fitness","mmol or nmol or U / g protein,; U / mL"
"successful migration","fitness","% of individuals successfully exiting"
"% of travel over the energised cable","spatial distribution","% of crab trials"
"height from seabed","spatial distribution","cm"
"spatial distribution","spatial distribution","position along the raceway; cm; % in exposed area; coordinates; % of individual in exposed side of aquaria; percent of individuals/cm from coil; % of individual on the sediment surface (not buried); %"
"survival rate","survival","Number of animals; % of alive individual after 40 days of exposition; % of live individuals"
"movement speed","swimming behaviour","cm/s"
"swimming speed","swimming behaviour","cm/s; hours"
"swimming speed/acceleration","swimming behaviour","body length/s, body length/s²; cm/s; cm/s²"
"vertical swimming speed","swimming behaviour","cm.sec-1"
